latitude,longitude,event_date,precipitation_sum_last_10_days,precipitation_sum_last_7_days,precipitation_sum_last_3_days,temperature_2m_max_in_last_10_days,temperature_2m_min_in_last_10_days,soil_moisture_0_to_7cm_mean_last_5_days,rainfall_trend_last_5_days,days_with_rain_gt_20mm_last_10_days,consecutive_rainy_days
27.83196401,84.54704621,07-03-2017 18:04,97.1,76.7,45.8,32.8,24.3,0.41685,2.53,0,10
28.3875,82.6474,09/17/2011 09:00:00 AM,123.3,73.7,30.4,22.9,15.1,0.421341667,-0.32,1,10
26.324724,94.514651,09-05-2016 18:04,93.8,86.2,36,27.5,20,0.481066667,-0.87,2,10
27.593,88.492,08/16/2016 07:22:00 PM,89.4,61.5,25.2,14.9,6.4,0.420266667,-1.69,0,10
31.0226,77.1029,09/18/2012 12:00:00 AM,69.7,39.1,24,24.7,16,0.3954,3.13,1,10
27.8385,88.556,09/19/2012 12:00:00 AM,195.1,177.1,78,11.3,1.8,0.426391667,-3.71,5,9
27.6558,88.605,09/19/2012 12:00:00 AM,351.7,279.4,101.8,24,11,0.426033333,-6.89,7,10
27.769034,84.854632,09-02-2016 18:04,94.2,78,56.1,30.2,20.4,0.420241667,4.66,1,10
21.61900923,91.92597729,07-04-2017 14:33,150.6,143.9,124.5,29.9,24.9,0.416608333,12.46,3,10
30.4954,78.3881,06/16/2013 12:00:00 AM,128.8,104.4,44.1,30.3,19.3,0.491025,0.08,2,10
30.885,78.6695,06/16/2013 12:00:00 AM,174.4,147.4,94.7,26,12.5,0.418341667,4.93,4,10
29.7986,80.417,06/16/2013 12:00:00 AM,99.2,73.8,38.4,31,21.4,0.469108333,2.52,1,6
26.092493,94.257523,09-05-2016 18:04,112.5,98.9,39,25.5,18.5,0.487633333,-0.94,2,10
10.9628,77.5947,06/25/2013 08:00:00 AM,58.6,49.6,2.6,31.4,23,0.329683333,-2.31,1,7
10.9628,77.5947,06/25/2013 08:00:00 AM,58.6,49.6,2.6,31.4,23,0.329683333,-2.31,1,7
28.4311,82.1847,07/14/2013 12:00:00 AM,272.6,204.3,71.7,28,20.4,0.424925,-11.57,5,10
25.7658,93.9413,07/17/2013 12:00:00 AM,126.9,92.6,54.5,27.8,21.3,0.481641667,2.84,2,10
28.6202,82.4393,07/14/2013 12:00:00 AM,272.6,204.3,71.7,28.1,20.2,0.426716667,-11.57,5,10
25.7131,94.0885,07/17/2013 12:00:00 AM,197.7,166.1,90.4,25.4,18.3,0.4908,4.34,5,10
22.35037081,91.83258101,06/13/2017 03:17:00 PM,327.3,285.8,268.3,33.2,25,0.416916667,37.04,4,10
28.145796,84.069015,09-06-2016 18:52,160.6,141.4,48.9,30.1,17.6,0.425516667,-6.36,3,10
26.1445447,94.24416766,07-01-2017 16:00,130.1,97.6,47.4,24.5,18.2,0.503633333,2.14,1,10
21.23699085,92.10434768,07-05-2017 19:39,224.7,210.6,155.7,30,24.6,0.428308333,10.23,4,10
26.20450454,91.87202793,07-03-2017 15:17,220.1,164.3,107.5,32.6,24.9,0.507475,5.24,6,10
22.77997113,92.03513581,07-02-2017 15:17,46.4,38.8,20.8,32.4,24.1,0.39735,1.66,0,10
27.513641,87.640957,09-02-2016 18:04,140.1,110.7,77.9,21,10.4,0.421066667,9.01,2,10
25.4976444,94.12901274,07-04-2017 16:00,203.2,108.2,34.9,23.4,16.7,0.424733333,0.38,4,10
27.833565,85.201673,09-04-2016 04:00,147.1,145.6,111.4,27.2,17.6,0.424466667,11.09,2,9
27.167781,87.055222,07-03-2017 18:04,216.1,134.1,65.3,24.7,18.4,0.422033333,0.89,5,10
26.22247247,91.92053028,07-03-2017 16:00,233.4,180.2,121,32.6,25.2,0.505583333,7.79,6,10
28.377188,83.498645,09-04-2016 18:04,202,200.3,139.7,27.6,17.4,0.423641667,15.44,3,9
26.1061808,91.85158907,07-03-2017 14:33,211.7,161.2,102.9,31.7,24.3,0.5064,2.88,6,10
26.10430759,91.86227824,07-03-2017 14:33,211.7,161.2,102.9,32.1,24.7,0.5064,2.88,6,10
22.74955141,92.22099982,06/13/2017 03:17:00 PM,415.1,381.9,340,33.8,22.7,0.4186,46.75,4,10
22.80452414,91.91261915,06/13/2017 06:48:00 PM,356.8,334.5,292.5,35.5,24.2,0.412575,45.89,4,10
31.956546,77.109719,09-02-2016 18:04,101.9,64.5,31.8,26.7,17.6,0.4631,1.06,0,10
34.525881,71.398496,09-08-2016 18:04,8,1.2,1.2,36.7,21.4,0.174741667,0.1,0,3
27.90362599,85.91050294,07-02-2017 19:39,201.4,150.2,84.7,25.9,17.3,0.424916667,3.96,4,10
27.98531715,94.21263589,07-04-2017 19:39,316.3,268.9,77.9,30.6,23.5,0.427283333,-18.42,7,10
26.11613908,94.24222574,07-01-2017 16:00,130.1,97.6,47.4,23.8,17.5,0.503633333,2.14,1,10
21.42181705,92.17584376,07-05-2017 19:39,192.3,176.2,127.6,30.9,24.3,0.427766667,8.09,4,10
27.97875751,94.26296826,07-04-2017 19:39,375.6,330.9,91.2,30.7,23.7,0.428008333,-26.27,6,10
21.04270451,92.21525816,06/14/2017 06:48:00 PM,379.2,362.7,304.5,30.9,25.1,0.344691667,18.23,4,10
26.90298048,88.29518925,07-05-2017 16:00,404.8,283.2,130.6,22,15.7,0.4268,0.07,7,10
27.878121,85.143062,07-05-2017 18:52,227.2,212.1,90.5,31.9,24.1,0.416325,-4.08,3,10
23.69461107,92.87641207,06/28/2017 04:00:00 PM,108.8,59.5,33.3,30.5,20.5,0.41115,0.72,1,10
26.3312531,94.55427723,07-01-2017 16:00,151.1,96.5,41.7,24.2,18.7,0.505083333,-0.17,1,10
27.02149311,88.25902123,07-06-2017 19:39,383.7,267.5,148.4,19.7,12.3,0.426625,-3.02,6,10
28.372874,83.567989,08/16/2016 12:40:00 PM,155.7,96.7,37,27.8,22,0.42235,2.84,3,10
38.74738889,75.19605556,06/25/2017 01:10:00 PM,46.9,41.1,16.1,18,4.2,0.237183333,0.13,0,6
17.06998518,96.82040086,05/19/2017 01:15:00 PM,169.9,151.5,98.6,32.7,25.1,0.38785,0.29,3,10
23.19807165,94.29816252,06-05-2017 13:34,146.2,100.4,5.7,35.3,24.1,0.476725,-2.34,2,7
27.06992579,93.6146564,06/19/2017 01:15:00 PM,235.9,218.5,76.9,32.3,23.2,0.423225,5.18,3,10
28.069957,85.01,08/14/2016 12:40:00 PM,126.8,89.2,23.5,23.8,17,0.421508333,-2.53,1,10
34.27703802,75.46743478,06-05-2017 13:34,9.7,9.5,0,14.8,-7,0.423775,-0.66,0,3
