event_id,latitude,longitude,event_date,event_year,event_month,event_day_of_week,event_hour,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,total_casualties,severity_class,country_name,admin_division_population,gazeteer_distance,slope,aspect,curvature
1946,34.0901,74.0256,06-05-2010 00:00,,,,,landslide,downpour,medium,unknown,0,0,0,none,India,6755,2.07058,89.99829102,23.80594444,-18144000000
758,27.05,90.8,08/29/2008 12:00:00 AM,,,,,mudslide,rain,medium,unknown,0,0,0,none,Bhutan,852,23.24506,89.99876404,358.331665,7776000000
7334,28.1737,94.7596,08/18/2015 12:00:00 AM,,,,,landslide,unknown,medium,unknown,1,0,1,low,India,18425,4.04762,89.99861908,72.3498764,-11664000000
492,33.9337,74.9985,04-05-2008 00:00,,,,,landslide,rain,medium,unknown,0,0,0,none,India,6807,2.18023,89.95973969,341.5650635,-1296000000
6200,27.0869,93.6086,08/17/2014 12:00:00 AM,,,,,landslide,downpour,large,unknown,0,0,0,none,India,44971,0.12577,89.99685669,285.7511597,2592000000
741,22.344,91.8188,08/23/2008 04:00:00 PM,,,,,landslide,downpour,medium,unknown,0,0,0,none,Bangladesh,3920222,1.46523,89.99485779,75.96375275,-6480000000
1791,7.418396315,80.60846422,04/27/2010 12:00:00 AM,,,,,landslide,downpour,medium,unknown,0,0,0,none,Sri Lanka,111701,14.47008,89.99725342,262.5686035,5184000000
2147,28.3034,83.3773,07/26/2010 12:00:00 AM,,,,,landslide,downpour,medium,unknown,0,0,0,none,Nepal,23296,21.13224,89.99913788,142.7403412,3888000000
4090,29.913,79.3532,12-10-2011 00:00,,,,,landslide,downpour,medium,unknown,0,0,0,none,India,2443,16.63897,89.9981308,212.9885254,-3888000000
7317,28.2656,83.8188,07/30/2015 12:00:00 AM,,,,,landslide,monsoon,medium,unknown,6,13,19,high,Nepal,200000,14.69281,89.99849701,245.5560455,1296000000
9617,26.888,88.2796,10/15/2016 12:00:00 AM,,,,,landslide,unknown,medium,above_road,0,0,0,none,India,46427,0.65153,89.99846649,267.9299622,9072000000
5126,28.2782,84.2758,07/18/2013 11:00:00 PM,,,,,landslide,rain,medium,unknown,0,0,0,none,Nepal,0,8.18612,89.99795532,47.60256195,-1296000000
1172,11.2695,76.2227,09/19/2009 12:00:00 AM,,,,,landslide,downpour,medium,unknown,0,0,0,none,India,89201,20.24712,89.99501038,25.55996513,1296000000
9415,18.3978,73.5086,08-03-2016 09:00,,,,,landslide,downpour,medium,above_road,0,0,0,none,India,23677,28.5741,89.99871826,310.9143982,14256000000
4216,24.9441,67.0317,02/21/2012 08:00:00 AM,,,,,landslide,unknown,medium,unknown,0,0,0,none,Pakistan,11624219,6.64897,89.99833679,130.7636108,2592000000
7778,23.8447,93.0514,08/26/2015 12:00:00 AM,,,,,mudslide,continuous_rain,medium,above_road,0,0,0,none,India,3962,22.71629,89.99894714,252.164978,-1296000000
3914,28.8665,79.5682,08-12-2011 00:00,,,,,landslide,rain,large,unknown,11,0,11,high,India,34904,7.19061,89.90996552,45,5184000000
665,27,86.71,07/24/2008 12:00:00 AM,,,,,landslide,downpour,large,unknown,0,0,0,none,Nepal,31495,36.791,,,
6554,28.2322,83.7228,08/27/2014 06:00:00 AM,,,,,landslide,continuous_rain,medium,unknown,3,0,3,low,Nepal,23296,13.77594,89.99424744,251.5650482,-5184000000
4945,29.722,80.5118,06/17/2013 12:00:00 AM,,,,,landslide,downpour,medium,unknown,0,0,0,none,Nepal,18317,13.31496,89.99891663,191.3099365,-7776000000
1752,26.0462,68.2767,04/15/2010 12:00:00 AM,,,,,landslide,rain,medium,unknown,2,0,2,low,Pakistan,31630,10.21869,89.98847198,354.8055725,-1296000000
5014,4.6889,96.6855,07-02-2013 00:00,,,,,landslide,earthquake,medium,unknown,4,0,4,low,Indonesia,0,6.8532,89.996315,349.9920349,-9072000000
8022,27.0927,85.5502,06/27/2016 12:00:00 AM,,,,,landslide,unknown,medium,above_road,0,0,0,none,Nepal,20284,26.15207,89.98593903,6.340191841,0
1179,28.28,83.55,09/20/2009 12:00:00 AM,,,,,mudslide,downpour,medium,unknown,2,0,2,low,Nepal,23296,4.00259,89.99900818,110.1363068,-6480000000
2213,34.1114,77.5874,08-06-2010 00:30,,,,,mudslide,downpour,very_large,unknown,0,0,0,none,India,37475,5.95852,89.98726654,0,2592000000
5940,33.2359,75.2439,03-10-2014 00:00,,,,,landslide,snowfall_snowmelt,medium,above_road,0,0,0,none,India,7317,0.70312,89.99932098,187.0868988,7776000000
4951,29.0697,82.106,06/18/2013 10:00:00 PM,,,,,landslide,downpour,medium,unknown,0,0,0,none,Nepal,9073,23.95214,89.99769592,222.0643311,-2592000000
6263,33.0365,74.4889,09/26/2014 12:00:00 AM,,,,,landslide,continuous_rain,medium,unknown,0,0,0,none,India,3952,24.11943,89.99795532,354.4724731,1296000000
6290,25.5772,91.8666,09/23/2014 03:00:00 AM,,,,,landslide,continuous_rain,small,urban,8,1,9,low,India,132842,1.8982,89.99636078,1.63657701,0
4019,9.9903,76.7898,10/17/2011 12:00:00 AM,,,,,landslide,downpour,medium,unknown,1,0,1,low,India,25436,18.71719,89.98946381,24.44395447,-2592000000
2327,27.2948,87.9377,08/24/2010 12:00:00 AM,,,,,complex,downpour,medium,unknown,0,0,0,none,Nepal,1035,35.00505,89.99913788,178.4518433,9072000000
2145,16.94057232,73.46476377,07/26/2010 12:00:00 AM,,,,,landslide,downpour,medium,above_road,0,0,0,none,India,13121,13.91342,89.99681854,167.0053864,2592000000
7057,35.567,71.7986,05/17/2015 12:00:00 AM,,,,,landslide,downpour,medium,natural_slope,5,0,5,low,Pakistan,0,31.00425,89.99023438,355.6012878,3888000000
4408,25.5498,92.0757,06/13/2012 12:00:00 AM,,,,,landslide,downpour,medium,unknown,0,0,0,none,India,132842,19.46712,89.99888611,327.8356018,0
3137,6.9734,81.0836,02/20/2011 12:00:00 AM,,,,,landslide,continuous_rain,medium,unknown,0,0,0,none,Sri Lanka,47587,3.56016,89.99790192,69.77513885,2592000000
1110,26.88405686,88.28087032,08/20/2009 08:30:00 PM,,,,,landslide,continuous_rain,medium,urban,0,0,0,none,India,46427,0.21657,89.99845886,264.4277954,6480000000
