latitude,longitude,event_date,precipitation_sum_last_10_days,precipitation_sum_last_7_days,precipitation_sum_last_3_days,temperature_2m_max_in_last_10_days,temperature_2m_min_in_last_10_days,soil_moisture_0_to_7cm_mean_last_5_days,rainfall_trend_last_5_days,days_with_rain_gt_20mm_last_10_days,consecutive_rainy_days
38.74738889,75.19605556,06/25/2017 01:10:00 PM,46.9,41.1,16.1,18.0,4.2,0.23718333333333336,0.13,0,6
17.06998518,96.82040086,05/19/2017 01:15:00 PM,169.9,151.5,98.6,32.7,25.1,0.38784999999999986,0.29,3,10
23.19807165,94.29816252,06/05/2017 01:34:00 PM,146.2,100.4,5.7,35.3,24.1,0.476725,-2.3399999999999994,2,7
27.06992579,93.6146564,06/19/2017 01:15:00 PM,235.9,218.49999999999997,76.9,32.3,23.2,0.4232249999999997,5.179999999999995,3,10
28.069957,85.01,08/14/2016 12:40:00 PM,126.79999999999998,89.2,23.5,23.8,17.0,0.4215083333333333,-2.53,1,10
34.27703802,75.46743478,06/05/2017 01:34:00 PM,9.7,9.499999999999998,0.0,14.8,-7.0,0.42377499999999985,-0.66,0,3
16.28332586,80.26097734,05/27/2017 01:34:00 PM,9.399999999999999,9.0,3.4,44.5,28.5,0.1368666666666666,0.39,0,2
30.070512,80.237218,08/10/2016 07:22:00 PM,125.29999999999998,72.30000000000001,25.1,23.3,15.6,0.4244333333333331,-3.53,3,6
24.21988831,93.20266204,06/26/2017 01:20:00 PM,144.10000000000002,120.6,70.0,29.1,19.9,0.4215249999999998,4.81,2,10
27.6835,86.1804,08/09/2016 01:37:00 PM,234.0,169.89999999999998,85.7,20.2,14.2,0.42562499999999986,1.68,7,10
11.34165808,76.8694278,06/01/2017 01:34:00 PM,148.79999999999998,117.9,20.7,34.2,21.3,0.39105833333333334,-5.100000000000001,3,10
22.65620215,93.61589869,05/29/2017 01:34:00 PM,42.1,40.0,39.800000000000004,30.2,14.4,0.22038333333333332,4.910000000000002,1,4
32.62803,75.37123,06/21/2017 06:51:00 PM,29.9,25.2,20.799999999999997,34.3,21.1,0.15104999999999996,2.94,0,8
25.15246863,92.94670614,06/04/2017 01:34:00 PM,645.0999999999999,611.3,405.5,26.9,18.3,0.5105500000000003,9.610000000000019,6,10
21.87861504,92.2676503,06/13/2017 06:48:00 PM,429.09999999999997,392.6,290.3,35.5,24.2,0.4144833333333332,34.91,4,10
