latitude,longitude,elevation,slope,aspect,curvature,precipitation_sum_last_10_days,precipitation_sum_last_7_days,precipitation_sum_last_3_days,temperature_2m_max_in_last_10_days,temperature_2m_min_in_last_10_days,soil_moisture_0_to_7cm_mean_last_5_days,rainfall_trend_last_5_days,days_with_rain_gt_20mm_last_10_days,consecutive_rainy_days,landslide
33.35149269,74.23352995,1147.0,89.99905396,266.5834045,19440001024.0,13.8,5.3,5.3,35.9,15.7,0.251016667,0.7,0,3,1
22.80452414,91.91261915,33.0,89.97816467,120.9637527,0.0,356.8,334.5,292.5,35.5,24.2,0.412575,45.89,4,10,1
22.80452414,91.91261915,33.0,89.97816467,120.9637527,0.0,356.8,334.5,292.5,35.5,24.2,0.412575,45.89,4,10,1
22.44394492,91.97239273,3.0,89.9865799,161.5650482,-2592000000.0,371.4,340.0,308.1,34.3,25.1,0.414841667,44.84,4,10,1
27.05909317,93.54235868,489.0,89.99810791,22.75097656,10368000000.0,216.1,205.8,110.9,31.2,20.4,0.429708333,-2.12,3,6,1
28.28120123,83.86441477,1439.0,89.99863434,175.6955261,10368000000.0,217.3,172.8,33.6,25.0,17.1,0.416833333,1.85,4,10,1
12.89674168,74.85970453,66.0,89.99485779,284.0362549,-2592000000.0,418.6,341.3,256.5,29.1,23.5,0.352908333,24.83,9,10,1
33.01346369,74.93530189,1537.0,89.99944305,207.3498688,-14256000000.0,180.5,161.3,151.9,26.3,14.8,0.469225,27.3,1,10,1
27.05880384,93.54136779,498.0,89.99719238,353.6598206,-2592000000.0,231.4,137.9,51.9,30.1,22.0,0.426625,-3.73,4,10,1
6.586835,80.160486,21.0,89.99597168,18.43494797,7776000000.0,179.5,131.9,65.2,30.8,24.0,0.50755,1.93,4,10,1
25.907233,91.881892,580.0,89.99606323,338.1985779,0.0,77.9,62.7,45.2,29.4,19.6,0.49225,0.74,1,10,1
25.67061161,94.11844319,1427.0,89.99853516,147.2251282,-12960000000.0,233.7,196.1,148.3,24.5,15.4,0.500091667,13.55,4,10,1
24.32420539,93.15020652,595.0,89.99931335,303.5180054,-11664000000.0,183.6,150.1,61.1,29.2,20.8,0.423375,-0.77,5,10,1
